Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Blake Corum,RB,2024,0,0,0,2,17,0,0,0,0,0,58,207,0,7,58,0,1,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Jacob Cowing,WR,2024,0,0,0,1,15,0,0,0,0,0,1,7,0,4,80,0,,,
Frank Crum,OT,2024,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,
Jaden Crumedy,DT,2024,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,0.5
Devin Culp,TE,2024,0,0,0,1,5,0,0,0,0,0,0,0,0,5,88,0,,,
Baylor Cupp,TE,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jayden Daniels,QB,2024,0,1,1,20,17,331,480,3568,25,9,148,891,6,0,0,0,,,
Zach Davidson,TE,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,,,
Isaiah Davis,RB,2024,0,0,0,2,17,0,0,0,0,0,30,174,1,9,75,1,7,,
Kaden Davis,WR,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Ray Davis,RB,2024,0,0,0,6,17,0,0,0,0,0,113,442,3,17,189,3,,,
Tyler Davis,DT,2024,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,12,,0.5
Evan Deckers,LS,2024,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,1,,
Justin Dedich,OL,2024,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,,,
Branson Deen,DT,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Cooper DeJean,DB,2024,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,38,,0.5
Marcellas Dial,DB,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,6,,
Brandon Dorlus,DE,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,
Ethan Driskell,OL,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Grant Dubose,WR,2024,0,0,0,0,3,0,0,0,0,0,0,0,0,2,11,0,,,
Storm Duck,CB,2024,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,24,,
Khalid Duke,DE,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,
Kenny Dyson,OLB,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,
Justin Eboigbe,DL,2024,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,
Chris Edmonds,S,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Tommy Eichenberg,LB,2024,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,8,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Jonah Elliss,DE,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,24,,5.0
Audric Estime,RB,2024,0,0,0,2,13,0,0,0,0,0,76,310,2,5,27,0,,,
Olumuyiwa Fashanu,OL,2024,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,,,
Troy Fautanu,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Blake Fisher,OL,2024,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,,,
Braden Fiske,DL,2024,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,20,,8.5
Ryan Flournoy,WR,2024,0,0,0,1,11,0,0,0,0,0,0,0,0,10,102,0,2,,
Jaylan Ford,LB,2024,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,2,,
Jonathan Ford,DT,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,
Bryce Ford-Wheaton,WR,2024,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,,
Alex Forsyth,OL,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,,,
Javon Foster,OL,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,
Troy Franklin,WR,2024,0,0,0,2,16,0,0,0,0,0,2,8,0,28,263,2,,,
Zach Frazier,OL,2024,0,0,1,6,15,0,0,0,0,0,0,0,0,0,-2,0,,,
Taliese Fuaga,OL,2024,0,0,1,8,17,0,0,0,0,0,0,0,0,0,0,0,,,
Tyrek Funderburk,CB,2024,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,10,,
Amari Gainer,LB,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,2,,
Jon Gaines,OL,2024,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,,,
Dallas Gant,LB,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,
Ali Gaye,DE,2024,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,7,,1.0
Delmar Glaze,OL,2024,0,0,1,5,17,0,0,0,0,0,0,0,0,0,0,0,,,
Travis Glover,OT,2024,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,
Matt Goncalves,OL,2024,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,,,
Anthony Gould,WR,2024,0,0,0,0,8,0,0,0,0,0,0,0,0,1,23,0,,,
Richard Gouraige,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Tylan Grable,OL,2024,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,,,
Cam Grandy,TE,2024,0,0,0,0,8,0,0,0,0,0,0,0,0,5,28,0,,,
Cedric Gray,LB,2024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,,
Art Green,CB,2024,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,,
Renardo Green,DB,2024,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,41,1,
Antonio Grier,LB,2024,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,,
Isaac Guerendo,RB,2024,0,0,0,4,16,0,0,0,0,0,84,420,4,15,152,0,,,
Tyler Guyton,OL,2024,0,0,1,4,15,0,0,0,0,0,0,0,0,0,0,0,,,
Kamal Hadden,DB,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Jake Haener,QB,2024,0,0,0,1,8,18,39,226,1,1,11,22,0,0,0,0,,,
Michael Hall,DT,2024,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,8,,1.0
Dominique Hampton,CB,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
C.J. Hanson,OG,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Myles Harden,DB,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,
Thomas Harper,S,2024,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,13,1,0.5
Jaylen Harrell,DE,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,8,,
Marvin Harrison Jr.,WR,2024,0,0,1,8,17,0,0,0,0,0,0,0,0,62,885,8,,,
Cam Hart,CB,2024,0,0,1,3,14,0,0,0,0,0,0,0,0,0,0,0,28,,0.5
Hogan Hatten,LS,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,2,,
Matthew Hayball,P,2024,0,0,0,3,17,0,0,0,0,0,1,11,0,0,0,0,,,
Ryan Hayes,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Christian Haynes,OL,2024,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,,,
Kyle Hergel,OG,2024,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,,
Shaka Heyward,LB,2024,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,,
Jaden Hicks,DB,2024,0,0,0,2,17,0,0,0,0,0,1,1,0,0,0,0,23,3,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Jamal Hill,LB,2024,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,2,,
Cooper Hodges,OL,2024,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,,,
George Holani,RB,2024,0,0,0,0,5,0,0,0,0,0,3,10,0,1,-1,0,,,
Dallin Holker,TE,2024,0,0,0,0,12,0,0,0,0,0,0,0,0,3,21,0,,,
Hendon Hooker,QB,2024,0,0,0,0,3,6,9,62,0,0,5,2,0,0,0,0,,,
Ty'Ron Hopper,LB,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,
Jalyx Hunt,DE,2024,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,12,,1.5
Bucky Irving,RB,2024,0,0,0,12,17,0,0,0,0,0,207,1122,8,47,392,0,,,
Adisa Isaac,DE,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,
Brennan Jackson,DE,2024,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,
Jermaine Jackson,WR,2024,0,0,0,0,4,0,0,0,0,0,1,-1,0,0,0,0,,,
Jha'Quan Jackson,WR,2024,0,0,0,0,12,0,0,0,0,0,1,-5,0,1,8,0,,,
Jordan Jackson,DT,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,4,,1.0
McKinnley Jackson,DL,2024,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,6,,1.0
Curtis Jacobs,LB,2024,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,2,,
Demontrey Jacobs,T,2024,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,,,
Javontae Jean-Baptiste,DL,2024,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,6,,1.0
Jordan Jefferson,DT,2024,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,5,,1.0
E.J. Jenkins,TE,2024,0,0,0,0,8,0,0,0,0,0,0,0,0,1,7,1,,,
Kris Jenkins,DL,2024,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,10,,3.0
Terrell Jennings,RB,2024,0,0,0,0,3,0,0,0,0,0,13,33,0,0,0,0,,,
Michael Jerrell,OT,2024,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,,,
Gabe Jeudy-Lally,CB,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,
Cedric Johnson,DE,2024,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,,1.0
Dyontae Johnson,LB,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Jaylen Johnson,WR,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Kameron Johnson,WR,2024,0,0,0,0,5,0,0,0,0,0,2,11,0,0,0,0,,,
Theo Johnson,TE,2024,0,0,1,2,12,0,0,0,0,0,0,0,0,29,331,1,,,
Carl Jones,LB,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Christian Jones,OL,2024,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,
Jarrian Jones,DB,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,30,1,2.0
Truman Jones,DL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,
Michael Jurgens,OL,2024,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,
Mohamed Kamara,DL,2024,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,
Sanoussi Kane,S,2024,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,5,,
Joshua Karty,K,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,,,
Trevor Keegan,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Devon Key,DB,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,17,,1.0
Ramel Keyton,WR,2024,0,0,0,0,8,0,0,0,0,0,0,0,0,1,7,0,1,,
Jacob Kibodi,RB,2024,0,0,0,0,1,0,0,0,0,0,5,24,0,1,15,0,,,
Kamren Kinchens,S,2024,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,36,4,
Jarrett Kingston,OL,2024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,
Jaxson Kirkland,OL,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Elijah Klein,OG,2024,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,,,
Marshawn Kneeland,DL,2024,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,9,,
Tyrice Knight,LB,2024,0,0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,41,,1.5
Jake Kubas,OG,2024,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,,
Cam Lampkin,DB,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,
Kamari Lassiter,DB,2024,0,0,1,5,14,0,0,0,0,0,0,0,0,0,0,0,42,3,
JC Latham,OL,2024,0,0,1,7,17,0,0,0,0,0,0,0,0,1,0,0,,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Laiatu Latu,DL,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,16,,4.0
Dylan Laube,RB,2024,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,,
Jonah Laulu,DL,2024,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,15,,1.0
Sataoa Laumea,OL,2024,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,,,
Matt Lee,C,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,,,
Xavier Legette,WR,2024,0,0,1,5,16,0,0,0,0,0,6,24,0,49,497,4,,,
Titus Leo,LB,2024,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,,
Beaux Limmer,OL,2024,0,0,1,7,16,0,0,0,0,0,0,0,0,0,0,0,,,
Alec Lindstrom,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Cam Little,K,2024,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,,,
Marist Liufau,LB,2024,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,30,,1.5
MarShawn Lloyd,RB,2024,0,0,0,0,1,0,0,0,0,0,6,15,0,1,3,0,,,
Zion Logue,DL,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,
Jordan Magee,LB,2024,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,7,,
Christian Mahogany,OL,2024,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,
Jaylen Mahoney,S,2024,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,
