Rank,Player,Yds,Year,Tm
,Roy Williams (24),"1,310",2006,DET
215,Tim Brown+ (28),"1,309",1994,RAI
216,Yancey Thigpen (26),"1,307",1995,PIT
217,Mark Duper (25),"1,306",1984,MIA
,Jerry Rice+ (25),"1,306",1988,SFO
219,Odell Beckham Jr. (21),"1,305",2014,NYG
220,Art Powell (26),"1,304",1963,OAK
,Demaryius Thomas (27),"1,304",2015,DEN
222,Derrick Mason (29),"1,303",2003,TEN
,D.K. Metcalf (22),"1,303",2020,SEA
,Andre Reed+ (30),"1,303",1994,BUF
225,Torry Holt (26),"1,302",2002,STL
Rank,Player,Yds,Year,Tm
226,Jeff Graham (26),"1,301",1995,CHI
227,James Lofton+ (27),"1,300",1983,GNB
,Terrell Owens+ (28),"1,300",2002,SFO
229,Raymond Berry+ (27),"1,298",1960,BAL
230,Antonio Brown (30),"1,297",2018,PIT
,Nico Collins (24),"1,297",2023,HOU
,A.J. Green (27),"1,297",2015,CIN
,Don Maynard+ (33),"1,297",1968,NYJ
,Otis Taylor (24),"1,297",1966,KAN
235,Herman Moore (26),"1,296",1996,DET
,Roddy White (29),"1,296",2011,ATL
237,Buddy Dial (26),"1,295",1963,PIT
,Donald Driver (31),"1,295",2006,GNB
,Brandon Marshall (29),"1,295",2013,CHI
240,Henry Ellard (29),"1,294",1990,RAM
,James Lofton+ (25),"1,294",1981,GNB
242,Herman Moore (27),"1,293",1997,DET
243,Isaac Bruce+ (31),"1,292",2004,STL
,Lee Evans (25),"1,292",2006,BUF
,Greg Jennings (24),"1,292",2008,GNB
,Eric Moulds (29),"1,292",2002,BUF
247,Kellen Winslow+ (22),"1,290",1980,SDG
248,Braylon Edwards (24),"1,289",2007,CLE
249,Eric Decker (26),"1,288",2013,DEN
250,Randall Cobb (24),"1,287",2014,GNB
,Joey Galloway (33),"1,287",2005,TAM
,Steve Largent+ (30),"1,287",1985,SEA
