Rank,Player,TD,Years,Tm
,LeGarrette Blount,58,2010-2018,5TM
,Reggie Bush,58,2006-2016,5TM
,Chris Chambers,58,2001-2010,3TM
,Randall Cobb,58,2011-2023,4TM
,Gary Garrison,58,1966-1977,2TM
,Joe Horn,58,1996-2007,3TM
,David Johnson,58,2015-2022,3TM
,Marvin Jones,58,2012-2023,3TM
,Cooper Kupp,58,2017-2024,ram
,Don McCauley,58,1971-1981,clt
,Wilbert Montgomery,58,1977-1985,2TM
,Jonathan Stewart,58,2008-2018,2TM
,Hugh Taylor,58,1947-1954,was
,Amani Toomer,58,1996-2008,nyg
,Chris Warren,58,1990-2000,3TM
224,Anthony Carter,57,1985-1995,2TM
,Vincent Jackson,57,2005-2016,2TM
Rank,Player,TD,Years,Tm
,Tom Matte,57,1961-1972,clt
,Haven Moses,57,1968-1981,2TM
,Antowain Smith,57,1997-2005,4TM
,Freddie Solomon,57,1975-1985,2TM
,James Stewart,57,1995-2002,2TM
,Mike Wallace,57,2009-2018,5TM
232,Donny Anderson,56,1966-1974,2TM
,Wes Chandler,56,1978-1988,3TM
,Nick Chubb,56,2018-2024,cle
,Tony Martin,56,1990-2001,3TM
,Mike Pruitt,56,1976-1986,3TM
,Gale Sayers+,56,1965-1971,chi
,Jonathan Taylor,56,2020-2024,clt
,Alex Webster,56,1955-1964,nyg
240,Larry Brown,55,1969-1976,was
,Chris Burford,55,1960-1967,kan
,Curtis Conway,55,1993-2004,4TM
,Jalen Hurts,55,2020-2024,phi
,John Henry Johnson+,55,1954-1966,4TM
,Ron Johnson,55,1969-1975,2TM
,Deuce McAllister,55,2001-2008,nor
,Ed McCaffrey,55,1991-2003,3TM
,Eric Metcalf,55,1989-2002,7TM
,David Montgomery,55,2019-2024,2TM
,DeMarco Murray,55,2011-2017,3TM
