Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LB,Frankie Luvu,WAS,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,54,8.0,1,AP: 2nd Tm
LB,Jack Campbell,DET,24,1,17,17,0,0,0,0,0,0,0,0,0,0,0,69,1.5,0,PFF: 2nd Tm
CB,Patrick Surtain II,DEN,24,3,16,16,0,0,0,0,0,0,0,0,0,0,0,34,0.0,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
CB,Derek Stingley Jr.,HOU,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,37,0.0,5,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm"
CB,Marlon Humphrey,BAL,28,7,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0.5,6,"AP: 1st Tm, PFF: 1st Tm"
CB,Trent McDuffie,KAN,24,2,16,16,0,0,0,0,0,0,0,0,0,0,0,45,0.5,2,"AP: 2nd Tm, PFF: 1st Tm"
CB,Jaylon Johnson,CHI,25,4,17,17,0,0,0,0,0,0,0,0,0,0,0,42,0.0,2,FW: 1st Tm All-Conf.
CB,Byron Murphy,MIN,26,5,17,17,0,0,0,0,0,0,0,0,0,0,0,62,0.0,6,FW: 1st Tm All-Conf.
CB,Garrett Williams,ARI,23,1,16,11,0,0,0,0,0,0,0,0,0,0,0,40,0.0,2,PFF: 2nd Tm
CB,Christian Gonzalez,NWE,22,1,16,16,0,0,0,0,0,0,0,0,0,0,0,50,0.0,2,AP: 2nd Tm
CB,Christian Benford,BUF,24,2,15,15,0,0,0,0,0,0,0,0,0,0,0,50,1.0,2,PFF: 2nd Tm
DB,Cooper DeJean,PHI,21,Rook,16,9,0,0,0,0,0,0,0,0,0,0,0,38,0.5,0,PFF: 2nd Tm
S,Xavier McKinney,GNB,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,60,1.0,8,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
S,Kyle Hamilton,BAL,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,77,2.0,1,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
S,Kerby Joseph,DET,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,58,0.0,9,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
S,Brian Branch,DET,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,79,1.0,4,SN: 1st Tm
S,Derwin James,LAC,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,60,5.5,1,"FW: 1st Tm All-Conf., AP: 2nd Tm"
S,Brandon Jones,DEN,26,4,16,15,0,0,0,0,0,0,0,0,0,0,0,79,0.0,3,PFF: 2nd Tm
S,Budda Baker,ARI,28,7,17,17,0,0,0,0,0,0,0,0,0,0,0,95,2.0,0,AP: 2nd Tm
LS,Ross Matiscik,JAX,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm"
LS,Andrew DePaola,MIN,37,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 1st Tm
Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
LS,Scott Daly,CHI,30,3,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,PFF: 1st Tm
K,Chris Boswell,PIT,33,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
K,Brandon Aubrey,DAL,29,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm"
P,Jack Fox,DET,28,4,17,0,1,1,17,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm"
P,Logan Cooke,JAX,29,6,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm"
P,Michael Dickson,SEA,28,6,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,PFF: 1st Tm
P,AJ Cole III,LVR,29,5,17,0,1,1,34,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm
PR,Marvin Mims,DEN,22,1,17,2,0,0,0,0,0,13,42,0,39,503,6,1,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
PR,Kalif Raymond,DET,30,8,12,2,0,0,0,0,0,2,0,0,17,215,2,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm"
KR,KaVontae Turpin,DAL,28,2,17,2,0,0,0,0,0,16,92,0,31,420,2,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
KR,Derius Davis,LAC,24,1,15,2,0,0,0,0,0,12,39,0,13,112,2,0,0.0,0,FW: 1st Tm All-Conf.
KR,Austin Ekeler,WAS,29,7,12,6,0,0,0,0,0,77,367,4,35,366,0,0,0.0,0,AP: 2nd Tm
ST,Brenden Schooler,NWE,27,2,17,0,0,0,0,0,0,0,0,0,0,0,0,9,2.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm"
ST,J.T. Gray,NOR,28,6,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm"
ST,Miles Killebrew,PIT,31,8,17,0,0,1,0,0,0,0,0,0,0,0,0,8,0.0,0,NFLPA: 1st Tm
