Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2018,4,Kalen Ballage,131,RB,2021,0,0,1,6,52,0,0,0,0,0,213,665,7,54,293,0,,,Arizona St.
2018,6,Cornell Armstrong,209,CB,2022,0,0,0,3,39,0,0,0,0,0,,,0,,,0,,,Southern Miss
2018,7,Quentin Poling,227,LB,2019,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Ohio
2018,7,Jason Sanders,229,K,2024,1,0,2,23,116,0,0,0,0,0,,,0,1,1,1,,,New Mexico
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2017,1,Charles Harris,22,OLB,2024,0,0,2,16,103,0,0,0,0,0,,,0,,,0,,19.5,Missouri
2017,2,Raekwon McMillan,54,LB,2024,0,0,2,15,72,0,0,0,0,0,,,0,,,0,,1.0,Ohio St.
2017,3,Cordrea Tankersley,97,CB,2020,0,0,1,4,19,0,0,0,0,0,,,0,,,0,,,Clemson
2017,5,Isaac Asiata,164,G,2018,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Utah
2017,5,Davon Godchaux,178,DT,2024,0,0,6,45,120,0,0,0,0,0,,,0,,,0,,5.5,LSU
2017,6,Vincent Taylor,194,DT,2021,0,0,0,5,40,0,0,0,0,0,,,0,,,0,,2.0,Oklahoma St.
2017,7,Isaiah Ford,237,WR,2021,0,0,0,5,32,0,0,0,0,0,1,11,0,63,681,2,,,Virginia Tech
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2016,1,Laremy Tunsil,13,T,2024,0,5,8,55,125,0,0,0,0,0,,,0,,,0,,,Mississippi
