Rank,Player,TD,Year,Tm
,Neal Anderson (25),11,1989,CHI
,Ottis Anderson (33),11,1990,NYG
,Tiki Barber (27),11,2002,NYG
,Saquon Barkley (21),11,2018,NYG
,Brad Baxter (24),11,1991,NYJ
Rank,Player,TD,Year,Tm
,Jerome Bettis+ (24),11,1996,PIT
,Emerson Boozer (29),11,1972,NYJ
,Bill Brown (30),11,1968,MIN
,Joe Cribbs (22),11,1980,BUF
,Ron Davenport (22),11,1985,MIA
,Stephen Davis (26),11,2000,WAS
,Curtis Dickey (23),11,1980,BAL
,Eric Dickerson+ (26),11,1986,RAM
,Tony Dorsett+ (26),11,1980,DAL
,T.J. Duckett (22),11,2003,ATL
,Travis Etienne (24),11,2023,JAX
,Marshall Faulk+ (21),11,1994,IND
,Marshall Faulk+ (22),11,1995,IND
,Barry Foster (23),11,1992,PIT
,Devonta Freeman (23),11,2015,ATL
,Devonta Freeman (24),11,2016,ATL
,Antonio Gibson (22),11,2020,WAS
,Ryan Grant (26),11,2009,GNB
,BenJarvus Green-Ellis (26),11,2011,NWE
,Franco Harris+ (27),11,1977,PIT
,Franco Harris+ (29),11,1979,PIT
,Johnny Hector (26),11,1987,NYJ
,Jeremy Hill (22),11,2015,CIN
,Peyton Hillis (24),11,2010,CLE
,Horace Ivory (24),11,1978,NWE
Rank,Player,TD,Year,Tm
,Edgerrin James+ (25),11,2003,IND
,Chris Johnson (24),11,2010,TEN
,Leroy Kelly+ (25),11,1967,CLE
,Eddie Lacy (23),11,2013,GNB
,MacArthur Lane (28),11,1970,STL
,Johnny Lujack (25),11,1950,CHI
,Marshawn Lynch (26),11,2012,SEA
,Doug Martin (23),11,2012,TAM
,Tom Matte (30),11,1969,BAL
,Terdell Middleton (23),11,1978,GNB
,Lydell Mitchell (26),11,1975,BAL
,Joe Mixon (28),11,2024,HOU
,Chuck Muncie (26),11,1979,NOR
,Kyler Murray (23),11,2020,ARI
,Jim Nance (23),11,1966,BOS
,Walter Payton+ (25),11,1978,CHI
,Walter Payton+ (31),11,1984,CHI
,Adrian Peterson (30),11,2015,MIN
,Clinton Portis (24),11,2005,WAS
,Clinton Portis (26),11,2007,WAS
,Errict Rhett (24),11,1995,TAM
,Trent Richardson (22),11,2012,CLE
,Gerald Riggs (30),11,1991,WAS
,Tobin Rote (28),11,1956,GNB
,Barry Sanders+ (27),11,1995,DET
Rank,Player,TD,Year,Tm
