Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2004,42,OAK,NFL,WR,6,5,15,5,67,13.4,0,4,33.3,18,0.8,11.2,33.3,4.5,0,0,0,0,,,,0.0,0.0,5,13.4,67,0,0,1,
2004,42,SEA,NFL,WR,11,9,49,25,362,14.5,3,17,46.9,56,2.3,32.9,51.0,7.4,0,0,0,0,,,,0.0,0.0,25,14.5,362,3,0,3,
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards,,,
20 Yrs,,303,284,1640,1549,22895,14.8,197,558,55.3,96,5.1,75.6,62.4,8.4,87,645,10,12,46.7,43,7.4,2.1,0.3,1636,14.4,23540,207,27,251,,,,
17 Game Avg,,17,16,,87,1285,14.8,11,,,96,5.1,75.6,,,5,36,1,,,43,7.4,2.1,0.3,92,0.8,1321,12,2,14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFO (16 Yrs),,238,224,1177,1281,19247,15.0,176,372,55.5,96,5.4,80.9,64.1,8.6,84,625,10,11,44.4,43,7.4,2.6,0.4,1365,14.6,19872,186,23,216,,,,
OAK (4 Yrs),,54,51,414,243,3286,13.5,18,169,56.0,75,4.5,60.9,58.7,7.9,3,20,0,1,66.7,12,6.7,0.4,0.1,246,13.4,3306,18,4,32,,,,
SEA (1 Yr),,11,9,49,25,362,14.5,3,17,46.9,56,2.3,32.9,51.0,7.4,0,0,0,0,,,,0.0,0.0,25,14.5,362,3,0,3,,,,
