Rank,Player,Yds,Years,Tm
194,Dante Lavelli+,"6,488",1946-1956,cle
195,Ricky Sanders,"6,477",1986-1995,2TM
196,Del Shofner,"6,470",1957-1967,2TM
197,Mike Quick,"6,464",1982-1990,phi
198,Quinn Early,"6,448",1988-1999,4TM
199,Sammy White,"6,400",1976-1985,min
200,Ike Hilliard,"6,397",1997-2008,2TM
Rank,Player,Yds,Years,Tm
201,Tyler Boyd,"6,390",2016-2024,2TM
202,Terry McLaurin,"6,379",2019-2024,was
203,Carlos Carson,"6,372",1980-1989,2TM
204,Troy Brown,"6,366",1993-2007,nwe
205,Max McGee,"6,346",1954-1967,gnb
206,Stephone Paige,"6,341",1983-1991,kan
207,CeeDee Lamb,"6,339",2020-2024,dal
208,Haywood Jeffires,"6,334",1987-1996,2TM
209,D.K. Metcalf,"6,324",2019-2024,sea
210,Steve Jordan,"6,307",1982-1994,min
211,Sean Dawkins,"6,291",1993-2001,4TM
212,Alfred Jenkins,"6,267",1975-1983,atl
213,Danny Amendola,"6,212",2009-2021,5TM
214,Darnay Scott,"6,193",1994-2002,2TM
215,Jeremy Shockey,"6,143",2002-2011,3TM
216,Eddie Brown,"6,134",1985-1991,cin
217,Steve Watson,"6,112",1979-1987,den
218,Ronnie Harmon,"6,076",1986-1997,4TM
219,Ben Watson,"6,058",2004-2019,4TM
220,Red Phillips,"6,044",1958-1967,2TM
221,Lenny Moore+,"6,039",1956-1967,clt
222,Santonio Holmes,"6,030",2006-2014,3TM
223,Louis Lipps,"6,019",1984-1992,2TM
224,Jack Snow,"6,012",1965-1975,ram
225,Lee Evans,"6,008",2004-2011,2TM
Rank,Player,Yds,Years,Tm
226,Sonny Randle,"5,996",1959-1968,3TM
227,Brandon Lloyd,"5,989",2003-2014,6TM
228,Bobby Joe Conrad,"5,902",1958-1969,2TM
,Billy Wilson,"5,902",1951-1960,sfo
230,Delanie Walker,"5,888",2006-2019,2TM
231,Todd Christensen,"5,872",1979-1988,2TM
232,Todd Heap,"5,869",2001-2012,2TM
233,James Jones,"5,861",2007-2015,2TM
234,Jessie Hester,"5,850",1985-1995,4TM
235,Freddie Solomon,"5,846",1975-1985,2TM
236,Eric Decker,"5,816",2010-2017,3TM
237,Mike Ditka+,"5,812",1961-1972,3TM
238,Riley Odoms,"5,755",1972-1983,den
239,Cole Beasley,"5,744",2012-2022,3TM
240,Ted Ginn Jr.,"5,742",2007-2020,6TM
241,Roy Williams,"5,715",2004-2011,3TM
242,John Jefferson,"5,714",1978-1985,3TM
243,Gail Cogdill,"5,696",1960-1970,3TM
244,Vance Johnson,"5,695",1985-1995,den
245,Jabar Gaffney,"5,690",2002-2012,5TM
246,Danny Abramowicz,"5,686",1967-1974,2TM
247,Antonio Bryant,"5,685",2002-2009,4TM
248,Dallas Clark,"5,665",2003-2013,3TM
249,Keith Byars,"5,661",1986-1998,4TM
,Owen Daniels,"5,661",2006-2015,3TM
