Rank,Player,Yds,Year,Tm
180,Ottis Anderson (23),"1,352",1980,STL
,Barry Sanders+ (24),"1,352",1992,DET
182,Natrone Means (22),"1,350",1994,SDG
183,John Riggins+ (34),"1,347",1983,WAS
184,Chris Warren (27),"1,346",1995,SEA
185,Jerome Bettis+ (28),"1,341",2000,PIT
,Adrian Peterson (22),"1,341",2007,MIN
187,Michael Turner (29),"1,340",2011,ATL
188,Matt Forte (27),"1,339",2013,CHI
,Ray Rice (22),"1,339",2009,BAL
190,Joe Morris (24),"1,336",1985,NYG
191,Thomas Jones (27),"1,335",2005,CHI
,LaDainian Tomlinson+ (25),"1,335",2004,SDG
193,Walter Payton+ (33),"1,333",1986,CHI
,Brian Westbrook (28),"1,333",2007,PHI
195,Emmitt Smith+ (29),"1,332",1998,DAL
196,Freeman McNeil (26),"1,331",1985,NYJ
197,Jim Brown+ (23),"1,329",1959,CLE
,Josh Jacobs (26),"1,329",2024,GNB
199,Kareem Hunt (22),"1,327",2017,KAN
,Jamal Lewis (23),"1,327",2002,BAL
Rank,Player,Yds,Year,Tm
,Gerald Riggs (25),"1,327",1986,ATL
202,Tony Dorsett+ (24),"1,325",1978,DAL
203,Maurice Jones-Drew (25),"1,324",2010,JAX
204,Tony Dorsett+ (29),"1,321",1983,DAL
205,Marshall Faulk+ (25),"1,319",1998,IND
,LeSean McCoy (26),"1,319",2014,PHI
207,Shaun Alexander (24),"1,318",2001,SEA
,Stephen Davis (26),"1,318",2000,WAS
209,Willie Parker (26),"1,316",2007,PIT
210,Corey Dillon (26),"1,315",2001,CIN
,Clinton Portis (23),"1,315",2004,WAS
,Thurman Thomas+ (27),"1,315",1993,BUF
213,Fred Taylor (26),"1,314",2002,JAX
214,Jordan Howard (21),"1,313",2016,CHI
215,Saquon Barkley (25),"1,312",2022,NYG
,Thomas Jones (30),"1,312",2008,NYJ
217,Eric Dickerson+ (29),"1,311",1989,IND
,Corey Dillon (27),"1,311",2002,CIN
219,Terry Allen (27),"1,309",1995,WAS
,Rudi Johnson (26),"1,309",2006,CIN
,LeSean McCoy (23),"1,309",2011,PHI
222,William Andrews (24),"1,308",1980,ATL
,Curtis Martin+ (30),"1,308",2003,NYJ
224,Saquon Barkley (21),"1,307",2018,NYG
,Tony Dorsett+ (31),"1,307",1985,DAL
Rank,Player,Yds,Year,Tm
,Jim Taylor+ (25),"1,307",1961,GNB
227,Marshawn Lynch (28),"1,306",2014,SEA
228,Todd Gurley (23),"1,305",2017,LAR
229,Eddie George (25),"1,304",1999,TEN
,Jamal Lewis (28),"1,304",2007,CLE
,Barry Sanders+ (22),"1,304",1990,DET
232,Billy Sims (24),"1,303",1980,DET
233,William Andrews (25),"1,301",1981,ATL
,Earl Campbell+ (28),"1,301",1983,HOU
235,James Wilder (27),"1,300",1985,TAM
236,Kyren Williams (24),"1,299",2024,LAR
237,Adrian Peterson (25),"1,298",2010,MIN
238,Thurman Thomas+ (24),"1,297",1990,BUF
239,Michael Bennett (24),"1,296",2002,MIN
240,Eddie George (24),"1,294",1998,TEN
,Napoleon Kaufman (24),"1,294",1997,OAK
,Mike Pruitt (25),"1,294",1979,CLE
243,Le'Veon Bell (25),"1,291",2017,PIT
244,Eric Dickerson+ (27),"1,288",1987,2TM
245,Jamaal Charles (26),"1,287",2013,KAN
,Curtis Martin+ (25),"1,287",1998,NYJ
,DeMarco Murray (28),"1,287",2016,TEN
248,Marshall Faulk+ (21),"1,282",1994,IND
,Steve Slaton (22),"1,282",2008,HOU
250,Neal Anderson (25),"1,275",1989,CHI
,Alfred Morris (24),"1,275",2013,WAS
