Rank,Player,Rec,Years,Tm
,D.K. Metcalf,438,2019-2024,sea
,Wesley Walker,438,1977-1989,nyj
236,Marcedes Lewis,437,2006-2024,3TM
237,Mark Andrews,436,2018-2024,rav
238,Mohamed Sanu,435,2012-2021,5TM
239,Martellus Bennett,433,2008-2017,5TM
,Edgerrin James+,433,1999-2009,3TM
,James Jones,433,2007-2015,2TM
242,Kevin Faulk,431,1999-2011,nwe
,James Wilder,431,1981-1990,3TM
244,Amon-Ra St. Brown,430,2021-2024,det
245,Chris Cooley,429,2004-2012,was
246,Michael Haynes,428,1988-1997,2TM
247,Mike Ditka+,427,1961-1972,3TM
,Paul Warfield+,427,1964-1977,2TM
249,Randy McMichael,426,2002-2012,3TM
250,Michael Pittman,425,1998-2008,3TM
