Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
D.J. Humphries,,KAN,2,2,0,1,1,1
J.J. Jansen,LS,CAR,17,0,1,0,1,0
Teven Jenkins,OL,CHI,14,14,0,1,1,0
Zion Johnson,G,LAC,17,17,1,0,1,0
Ted Karras,C,CIN,17,17,1,0,1,0
Ryan Kelly,C,IND,10,10,0,0,1,0
Doug Kramer,OL,CHI,16,0,0,0,1,0
Damien Lewis,G,CAR,16,16,1,0,1,2
Cornelius Lucas,T,WAS,14,7,0,1,1,0
Christian Mahogany,,DET,7,1,0,1,1,0
Cade Mays,G,CAR,11,8,0,1,1,0
Mike McGlinchey,T,DEN,13,13,0,1,1,0
Connor McGovern,G,BUF,16,16,1,0,1,0
Dylan McMahon,,LAR,1,1,0,1,1,0
Jordan Meredith,G,LVR,14,8,0,1,1,0
John Michael Schmitz,C,NYG,15,15,0,0,1,0
Player,Pos,Tm,G,GS,Holding,False Start,Pen,Decl/Offs
Kolton Miller,T,LVR,17,17,0,1,1,0
Jordan Morgan,OT,GNB,6,1,1,0,1,0
Michael Niese,OL,DET,17,0,1,0,1,0
Yosh Nijman,T,CAR,16,3,1,0,1,0
Storm Norton,OL,ATL,17,1,0,1,1,0
Alex Palczewski,T,DEN,14,3,1,0,1,0
Trey Pipkins,T,LAC,15,15,0,1,1,1
Austen Pleasants,,SFO,3,0,0,0,1,0
Dominick Puni,OL,SFO,17,17,0,0,1,0
Cesar Ruiz,OL,NOR,13,13,0,0,1,0
Jon Runyan,G,NYG,13,13,1,0,1,1
Brandon Scherff,OL,JAX,17,17,0,1,1,1
Justin Skule,T,TAM,17,5,1,0,1,0
Sidy Sow,G,NWE,12,1,0,1,1,0
Cole Strange,,NWE,3,2,0,0,1,0
Joe Tippmann,C,NYJ,17,17,1,0,1,0
Oli Udoh,OL,NOR,14,1,1,0,1,0
Matt Waletzko,OT,DAL,7,0,0,1,1,0
Caedan Wallace,T,NWE,6,2,1,0,1,3
Luke Wattenberg,C,DEN,13,13,0,0,1,0
Cody Whitehair,OG,LVR,12,3,0,1,1,0
Isaiah Wynn,,MIA,6,3,0,0,1,0
Landon Young,T,NOR,17,5,0,1,1,0
Kevin Zeitler,G,DET,16,16,0,0,1,0
