Player,From,To,AV
Bobby Towns,1960,1960,2
Wade Traynham,1966,1967,3
Laquon Treadwell,2024,2024,0
Tom Tupa,1992,2001,13
Michael Vick,2001,2013,108
Tristan Vizcaino,2020,2020,1
Billy Volek,2003,2011,12
Will Waite,1921,1921,
Quay Walker,2022,2024,19
Blair Walsh,2017,2017,1
Charvarius Ward,2022,2024,20
Jim Ward,1971,1971,0
Bob Waterfield,1945,1952,
Steve Weatherford,2006,2008,5
Davis Webb,2021,2021,0
Kyzir White,2023,2024,12
Malik Willis,2022,2023,1
Tony Wilsbach,1925,1925,
Joe Wostoupal,1930,1930,
Matthew Wright,2024,2024,0
Danny Wuerffel,1997,2000,4
Tony Zendejas,1985,1995,17
Roy Zimmerman,1943,1946,
